metricId,category,unit,persona,surface,location,extracted,canonical,deltaAbs,deltaRel,toleranceAbs,toleranceRel,severity,triageCode,triage
cash-runway-months,cash,months,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildExecutiveSummary linkedMetrics 'Cash Runway',—,11.12,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
cash-runway-months,cash,months,liberty,artifacts/school-financial-model/src/components/export/LenderPacketPreview.tsx,CashRunwayCard,—,11.12,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React preview renders `lenderPacket` props verbatim (same payload diffed at the typed-shape layer). Visual parity covered by wizard-preview-matches-pdf test.
cash-runway-months,cash,months,liberty,narrative-bundle.cashRunwayMonths,narrativeBundle.cashRunwayMonths,11.12,11.12,0.00,0.0000%,0.1,—,pass,in-tolerance,in tolerance
cash-trough-ending-cash,cash,usd,liberty,narrative-bundle.troughEndingCash,narrativeBundle.troughEndingCash,2258592,2258592,0,0.0000%,1,0.001,pass,in-tolerance,in tolerance
cash-trough-ending-cash,cash,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildCashFlow — Cash flow section trough callout,—,2258592,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
cash-trough-ending-cash,cash,usd,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Cash trough KPI card,—,2258592,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
cash-monthly-low,cash,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildCashFlow — Monthly cash flow trough callout,—,"{""monthIndex"":0,""monthLabel"":""Jan"",""amount"":638612.0218439628,""isNegative"":false,""yearIndex"":0}",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
cash-monthly-low,cash,usd,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Monthly cash low coaching flag,—,"{""monthIndex"":0,""monthLabel"":""Jan"",""amount"":638612.0218439628,""isNegative"":false,""yearIndex"":0}",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
reserve-months-last-year,cash,months,liberty,narrative-bundle.reserveMonthsLastYear,narrativeBundle.reserveMonthsLastYear,77.70,77.70,0.00,0.0000%,0.1,—,pass,in-tolerance,in tolerance
reserve-months-last-year,cash,months,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Reserve months KPI,—,77.70,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
dscr-year-series-normalized,debt,ratio,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildDebtService — DSCR by year table,—,"[30.65,69.43,100.51,138.59,180.48]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
dscr-year-series-normalized,debt,ratio,liberty,narrative-bundle.dscrY1Normalized,narrativeBundle.dscrY1Normalized (compared to canonical[0]),30.650,30.650,0.000,0.0000%,0.01,—,pass,in-tolerance,in tolerance
dscr-year-series-normalized,debt,ratio,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,DSCR trend chart,—,"[30.65,69.43,100.51,138.59,180.48]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
dscr-year-series-reported,debt,ratio,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildDebtService — DSCR table 'as reported' column when founderCompHasAdjustment,—,"[30.84,70.23,101.32,140.15,182.09]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
dscr-min-normalized,debt,ratio,liberty,narrative-bundle.dscrMinNormalized,narrativeBundle.dscrMinNormalized,30.650,30.650,0.000,0.0000%,0.01,—,pass,in-tolerance,in tolerance
dscr-min-normalized,debt,ratio,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildDebtService — Debt service section min-DSCR callout,—,30.650,—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
annual-debt-service,debt,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildDebtService — Debt service table principal+interest column,—,"[69457.48787244578,69457.48787244578,69457.48787244578,69457.48787244578,69457.48787244578]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
annual-debt-service,debt,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,YearData.debtService (diagnostic fallback when canonical engine row missing),—,"[69457.48787244578,69457.48787244578,69457.48787244578,69457.48787244578,69457.48787244578]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-per-student,per_student,usd,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,KPI grid revenuePerStudent card,—,24375,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
revenue-per-student,per_student,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildHealthAssessment linkedMetrics,—,24375,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
cost-per-student,per_student,usd,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,KPI grid costPerStudent card,—,14082,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
capacity-utilization-y1,capacity_breakeven,pct,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Capacity KPI card,—,100.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
capacity-utilization-y1,capacity_breakeven,pct,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildFacilityKPIs — Facility KPIs section,—,100.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
break-even-year,capacity_breakeven,year,liberty,narrative-bundle.breakEvenYear,narrativeBundle.breakEvenYear,1,1,0,0.0000%,0,—,pass,in-tolerance,in tolerance
break-even-year,capacity_breakeven,year,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Break-even year KPI card,—,1,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
break-even-students-y1,capacity_breakeven,count,liberty,narrative-bundle.breakEvenStudentsY1,narrativeBundle.breakEvenStudentsY1,93,93,0,0.0000%,0,—,pass,in-tolerance,in tolerance
break-even-students-y1,capacity_breakeven,count,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildFiveYearProjection — Break-even callout under 5-year projection,—,93,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-base-net-income,stress,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — Stress tests table base row,—,"[2072877.3037942206,4808465.487127554,6968142.9792525545,9664873.432437554,12577839.381596856]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-scenario-dscr,stress,ratio,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — DSCR cells in per-scenario rows,—,"[{""name"":""Enrollment -10%"",""dscr"":[26.32,61.94,88.65,120.55,158.13]},{""name"":""Enrollment -20%"",""dscr"":[21.74,53.11,75.44,102.63,134.17]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""dscr"":[14.23,41.04,61.63,89.54,120.14]},{""name"":""Rent Shock +25%"",""dscr"":[30.05,69.25,100.31,139.11,181.02]},{""name"":""Founder Comp Normalized to Market"",""dscr"":[30.65,69.43,100.51,138.59,180.48]}]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-scenario-dscr,stress,ratio,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Stress tests Min-DSCR column + custom stress test form result,—,"[{""name"":""Enrollment -10%"",""dscr"":[26.32,61.94,88.65,120.55,158.13]},{""name"":""Enrollment -20%"",""dscr"":[21.74,53.11,75.44,102.63,134.17]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""dscr"":[14.23,41.04,61.63,89.54,120.14]},{""name"":""Rent Shock +25%"",""dscr"":[30.05,69.25,100.31,139.11,181.02]},{""name"":""Founder Comp Normalized to Market"",""dscr"":[30.65,69.43,100.51,138.59,180.48]}]",—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
stress-scenario-ending-cash,stress,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — Min-cash cells in per-scenario rows,—,"[{""name"":""Enrollment -10%"",""endingCash"":[1958775.0121275536,6191257.909255108,12279550.405382661,20583130.575320218,31496744.29438707]},{""name"":""Enrollment -20%"",""endingCash"":[1640891.262127555,5260668.206755109,10431285.156382663,17490451.50964897,26739839.566185825]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""endingCash"":[1118710.637127554,3899926.124255108,8111009.103507662,14260631.035945218,22535802.58154207]},{""name"":""Rent Shock +25%"",""endingCash"":[2217877.3037942206,6958362.790921774,13856486.370174328,23449239.820611883,35952795.620748736]},{""name"":""Founder Comp Normalized to Market"",""endingCash"":[2272877.3037942206,7081342.790921774,14049485.770174328,23714359.202611882,36292198.58420874]}]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-scenario-ending-cash,stress,usd,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Stress tests Min-cash column + custom stress test form result,—,"[{""name"":""Enrollment -10%"",""endingCash"":[1958775.0121275536,6191257.909255108,12279550.405382661,20583130.575320218,31496744.29438707]},{""name"":""Enrollment -20%"",""endingCash"":[1640891.262127555,5260668.206755109,10431285.156382663,17490451.50964897,26739839.566185825]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""endingCash"":[1118710.637127554,3899926.124255108,8111009.103507662,14260631.035945218,22535802.58154207]},{""name"":""Rent Shock +25%"",""endingCash"":[2217877.3037942206,6958362.790921774,13856486.370174328,23449239.820611883,35952795.620748736]},{""name"":""Founder Comp Normalized to Market"",""endingCash"":[2272877.3037942206,7081342.790921774,14049485.770174328,23714359.202611882,36292198.58420874]}]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
stress-scenario-net-income,stress,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — Y5 net income cells; powers the 'N of M negative Y5' headline,—,"[{""name"":""Enrollment -10%"",""netIncome"":[1758775.0121275536,4232482.897127554,6088292.496127553,8303580.169937557,10913613.71906685]},{""name"":""Enrollment -20%"",""netIncome"":[1440891.262127555,3619776.9446275537,5170616.949627554,7059166.353266306,9249388.056536853]},{""name"":""Public Funding Delayed 3 Months (public sources only)"",""netIncome"":[918710.637127554,2781215.487127554,4211082.9792525545,6149621.932437555,8275171.545596854]},{""name"":""Rent Shock +25%"",""netIncome"":[2017877.3037942206,4740485.487127554,6898123.579252554,9592753.450437555,12503555.800136855]},{""name"":""Founder Comp Normalized to Market"",""netIncome"":[2059612.3037942206,4753150.437127554,6912030.702752555,9556365.732437555,12466156.040596856]}]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
stress-scenario-net-income,stress,usd,liberty,narrative-bundle.negativeY5StressScenarios (count proxy),narrativeBundle.negativeY5StressScenarios.length (drives lender closing paragraph),—,"[{""name"":""Enrollment -10%"",""netIncome"":[1758775.0121275536,4232482.897127554,6088292.496127553,8303580.169937557,10913613.71906685]}, {""name"":""Enrollment -20%"",""netIncome"":[1440891.262127555,3619776.9446275537,5170616.949627554,7059166.353266306,9249388.056536853]}, {""name"":""Public Funding Delayed 3 Months (public sources only)"",""netIncome"":[918710.637127554,2781215.487127554,4211082.9792525545,6149621.932437555,8275171.545596854]}, {""name"":""Rent Shock +25%"",""netIncome"":[2017877.3037942206,4740485.487127554,6898123.579252554,9592753.450437555,12503555.800136855]}, {""name"":""Founder Comp Normalized to Market"",""netIncome"":[2059612.3037942206,4753150.437127554,6912030.702752555,9556365.732437555,12466156.040596856]}]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,"Surface only exposes count + names of failing scenarios, not the per-scenario netIncome series (canonical is `co.lenderStressTests.scenarios[*].netIncome`). The count is diffed by the `stress-negative-y5-scenarios` row; per-scenario netIncome is covered by lender-stress-section-snapshot."
stress-worst-scenario,stress,text,liberty,narrative-bundle.worstStress.name,narrativeBundle.worstStress.name,"""Public Funding Delayed 3 Months (public sources only)""","""Public Funding Delayed 3 Months (public sources only)""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
stress-negative-y5-scenarios,stress,count,liberty,narrative-bundle.negativeY5StressScenarios.length,narrativeBundle.negativeY5StressScenarios.length,0,0,0,0.0000%,0,—,pass,in-tolerance,in tolerance
stress-negative-y5-scenarios,stress,count,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildStressTests — 'N of M scenarios result in negative Y5 net income' headline,—,0,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
founder-comp-adjustment,founder_comp,usd,liberty,narrative-bundle.founderCompTotalDelta,narrativeBundle.founderCompTotalDelta,344883,344883,0,0.0000%,1,0.001,pass,in-tolerance,in tolerance
founder-comp-adjustment,founder_comp,usd,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Founder comp normalization callout,—,344883,—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
lender-readiness-uncapped,rating,enum,liberty,lenderPacket.lenderReadiness.result.uncappedRating,lenderPacket.lenderReadiness.result.uncappedRating,"""Needs Work""","""Needs Work""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
lender-readiness-effective,rating,enum,liberty,lenderPacket.lenderReadiness.status,lenderPacket.lenderReadiness.status,"""Needs Work""","""Needs Work""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
lender-readiness-effective,rating,enum,liberty,lenderPacket.lenderReadiness.result.effectiveRating,lenderPacket.lenderReadiness.result.effectiveRating,"""Needs Work""","""Needs Work""",0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
lender-readiness-effective,rating,enum,liberty,artifacts/school-financial-model/src/components/export/LenderPacketPreview.tsx,NarrativeHeader readiness banner,—,"""Needs Work""",—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React preview renders `lenderPacket` props verbatim (same payload diffed at the typed-shape layer). Visual parity covered by wizard-preview-matches-pdf test.
lender-readiness-effective,rating,enum,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Lender readiness card,—,"""Needs Work""",—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
lender-readiness-cap,rating,text,liberty,artifacts/school-financial-model/src/components/export/LenderPacketPreview.tsx,Cap callout (testid readiness-cap-callout-packet),—,0,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React preview renders `lenderPacket` props verbatim (same payload diffed at the typed-shape layer). Visual parity covered by wizard-preview-matches-pdf test.
lender-readiness-cap,rating,text,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Cap-preview CTA on consultant analysis view (#966),—,0,—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
lender-readiness-cap,rating,text,liberty,lenderPacket.lenderReadiness.result.cap.taggedFraction,lenderPacket.lenderReadiness.result.cap.taggedFraction,0,0,0,0.0000%,0,—,skipped-structural,exact-text-match,exact-match string (text/enum)
biggest-strength,rating,text,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildExecutiveSummary linkedMetrics — biggestStrength entry,—,"""Strong Year 5 net income""",—,—,0,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
